Dates,Times,ING Stage DCP-raw
6/28/2020,2:30:00,1.05
6/28/2020,2:45:00,1.08
6/28/2020,3:00:00,1.09
6/28/2020,3:15:00,1.07
6/28/2020,3:30:00,1.08
6/28/2020,3:45:00,1.07
6/28/2020,4:00:00,1.07
6/28/2020,4:15:00,1.07
6/28/2020,4:30:00,1.07
6/28/2020,4:45:00,1.06
6/28/2020,5:00:00,1.05
6/28/2020,5:15:00,1.04
6/28/2020,5:30:00,1.03
6/28/2020,5:45:00,1.02
6/28/2020,6:00:00,1
6/28/2020,6:15:00,1
6/28/2020,6:30:00,0.98
6/28/2020,6:45:00,0.95
6/28/2020,7:00:00,0.95
6/28/2020,7:15:00,0.94
6/28/2020,7:30:00,0.91
6/28/2020,7:45:00,0.9
6/28/2020,8:00:00,0.87
6/28/2020,8:15:00,0.87
6/28/2020,8:30:00,0.85
6/28/2020,8:45:00,0.84
6/28/2020,9:00:00, 
6/28/2020,9:15:00,0.8
6/28/2020,9:30:00,0.78
6/28/2020,9:45:00,0.76
6/28/2020,10:00:00, 
6/28/2020,10:15:00,0.72
6/28/2020,10:30:00,0.71
6/28/2020,10:45:00,0.69
6/28/2020,11:00:00, 
6/28/2020,11:15:00,0.65
6/28/2020,11:30:00,0.64
6/28/2020,11:45:00,0.62
6/28/2020,12:00:00, 
6/28/2020,12:15:00,0.59
6/28/2020,12:30:00,0.58
6/28/2020,12:45:00,0.55
6/28/2020,13:00:00,0.54
6/28/2020,13:15:00,0.52
6/28/2020,13:30:00,0.51
6/28/2020,13:45:00,0.5
6/28/2020,14:00:00,0.49
6/28/2020,14:15:00,0.47
6/28/2020,14:30:00,0.46
6/28/2020,14:45:00,0.45
6/28/2020,15:00:00, 
6/28/2020,15:15:00,0.42
6/28/2020,15:30:00,0.42
6/28/2020,15:45:00,0.4
6/28/2020,16:00:00,0.4
6/28/2020,16:15:00,0.39
6/28/2020,16:30:00,0.38
6/28/2020,16:45:00,0.37
6/28/2020,17:00:00,0.37
6/28/2020,17:15:00,0.37
6/28/2020,17:30:00,0.37
6/28/2020,17:45:00,0.36
6/28/2020,18:00:00,0.36
6/28/2020,18:15:00,0.36
6/28/2020,18:30:00,0.37
6/28/2020,18:45:00,0.38
6/28/2020,19:00:00,0.38
6/28/2020,19:15:00,0.39
6/28/2020,19:30:00,0.41
6/28/2020,19:45:00,0.42
6/28/2020,20:00:00,0.45
6/28/2020,20:15:00,0.46
6/28/2020,20:30:00,0.49
6/28/2020,20:45:00,0.51
6/28/2020,21:00:00,0.54
6/28/2020,21:15:00,0.57
6/28/2020,21:30:00,0.6
6/28/2020,21:45:00,0.62
6/28/2020,22:00:00,0.66
6/28/2020,22:15:00,0.69
6/28/2020,22:30:00,0.73
6/28/2020,22:45:00,0.77
6/28/2020,23:00:00, 
6/28/2020,23:15:00,0.84
6/28/2020,23:30:00,0.88
6/28/2020,23:45:00,0.93
6/29/2020,0:00:00,0.97
6/29/2020,0:15:00,1
6/29/2020,0:30:00,1.05
6/29/2020,0:45:00,1.07
6/29/2020,1:00:00,1.07
6/29/2020,1:15:00,1.1
6/29/2020,1:30:00,1.13
6/29/2020,1:45:00,1.14
6/29/2020,2:00:00,1.17
6/29/2020,2:15:00,1.18
6/29/2020,2:30:00,1.2
6/29/2020,2:45:00,1.2
6/29/2020,3:00:00,1.23
6/29/2020,3:15:00,1.23
6/29/2020,3:30:00,1.19
6/29/2020,3:45:00,1.19
6/29/2020,4:00:00,1.21
6/29/2020,4:15:00,1.19
6/29/2020,4:30:00,1.23
6/29/2020,4:45:00,1.23
6/29/2020,5:00:00,1.22
6/29/2020,5:15:00,1.2
6/29/2020,5:30:00,1.17
6/29/2020,5:45:00,1.17
6/29/2020,6:00:00,1.16
6/29/2020,6:15:00,1.14
6/29/2020,6:30:00,1.13
6/29/2020,6:45:00,1.11
6/29/2020,7:00:00,1.08
6/29/2020,7:15:00,1.07
6/29/2020,7:30:00,1.05
6/29/2020,7:45:00,1.04
6/29/2020,8:00:00,1.03
6/29/2020,8:15:00,1
6/29/2020,8:30:00,0.99
6/29/2020,8:45:00,0.96
6/29/2020,9:00:00,0.95
6/29/2020,9:15:00,0.91
6/29/2020,9:30:00,0.9
6/29/2020,9:45:00,0.88
6/29/2020,10:00:00, 
6/29/2020,10:15:00,0.83
6/29/2020,10:30:00,0.81
6/29/2020,10:45:00,0.8
6/29/2020,11:00:00,0.78
6/29/2020,11:15:00,0.77
6/29/2020,11:30:00,0.76
6/29/2020,11:45:00,0.73
6/29/2020,12:00:00,0.72
6/29/2020,12:15:00,0.69
6/29/2020,12:30:00,0.68
6/29/2020,12:45:00,0.66
6/29/2020,13:00:00,0.65
6/29/2020,13:15:00,0.62
6/29/2020,13:30:00,0.62
6/29/2020,13:45:00,0.61
6/29/2020,14:00:00,0.59
6/29/2020,14:15:00,0.58
6/29/2020,14:30:00,0.56
6/29/2020,14:45:00,0.55
6/29/2020,15:00:00,0.54
6/29/2020,15:15:00,0.53
6/29/2020,15:30:00,0.52
6/29/2020,15:45:00,0.51
6/29/2020,16:00:00,0.5
6/29/2020,16:15:00,0.49
6/29/2020,16:30:00,0.49
6/29/2020,16:45:00,0.49
6/29/2020,17:00:00, 
6/29/2020,17:15:00,0.48
6/29/2020,17:30:00,0.49
6/29/2020,17:45:00,0.49
6/29/2020,18:00:00,0.49
6/29/2020,18:15:00,0.5
6/29/2020,18:30:00,0.5
6/29/2020,18:45:00,0.51
6/29/2020,19:00:00, 
6/29/2020,19:15:00,0.54
6/29/2020,19:30:00,0.56
6/29/2020,19:45:00,0.59
6/29/2020,20:00:00, 
6/29/2020,20:15:00,0.64
6/29/2020,20:30:00,0.68
6/29/2020,20:45:00,0.69
6/29/2020,21:00:00,0.73
6/29/2020,21:15:00,0.76
6/29/2020,21:30:00,0.78
6/29/2020,21:45:00,0.82
6/29/2020,22:00:00,0.87
6/29/2020,22:15:00,0.92
6/29/2020,22:30:00,0.97
6/29/2020,22:45:00,1.01
6/29/2020,23:00:00,1.04
6/29/2020,23:15:00,1.08
6/29/2020,23:30:00,1.13
6/29/2020,23:45:00,1.18
6/30/2020,0:00:00, 
6/30/2020,0:15:00,1.25
6/30/2020,0:30:00,1.27
6/30/2020,0:45:00,1.31
6/30/2020,1:00:00, 
6/30/2020,1:15:00,1.35
6/30/2020,1:30:00,1.35
6/30/2020,1:45:00,1.38
6/30/2020,2:00:00,1.4
6/30/2020,2:15:00,1.41
6/30/2020,2:30:00,1.46
6/30/2020,2:45:00,1.44
6/30/2020,3:00:00, 
6/30/2020,3:15:00,1.45
6/30/2020,3:30:00,1.46
6/30/2020,3:45:00,1.45
6/30/2020,4:00:00,1.45
6/30/2020,4:15:00,1.44
6/30/2020,4:30:00,1.44
6/30/2020,4:45:00,1.41
6/30/2020,5:00:00,1.38
6/30/2020,5:15:00,1.36
6/30/2020,5:30:00,1.33
6/30/2020,5:45:00,1.33
6/30/2020,6:00:00,1.3
6/30/2020,6:15:00,1.3
6/30/2020,6:30:00,1.26
6/30/2020,6:45:00,1.25
6/30/2020,7:00:00, 
6/30/2020,7:15:00,1.23
6/30/2020,7:30:00,1.19
6/30/2020,7:45:00,1.18
