,x,y,z
121,500178.33945242944,8724275.486828368,327.09798212078823
122,500178.6462913169,8724275.812575255,327.04301608079777
123,500178.93763529183,8724276.120915499,326.98750233503176
124,500178.99204041105,8724276.166955408,326.9135617633802
125,500179.0598649604,8724276.227866225,326.8407561766901
126,500179.2189914532,8724276.390042271,326.77563883721234
127,500179.3052578136,8724276.471455412,326.7047506916174
128,500179.3782621481,8724276.538187308,326.63288178470987
129,500179.5337089645,8724276.696414772,326.56822251300605
130,500179.72963461356,8724276.899624912,326.50746314609916
131,500180.0375928466,8724277.227265017,326.4570702658716
132,500180.11633441795,8724277.300570685,326.3867349348335
133,500180.20302198967,8724277.382690316,326.3172740933896
134,500180.3406831681,8724277.521480028,326.25264550484724
135,500180.69200998254,8724277.897691112,326.2082982945366
136,500180.79535863356,8724277.99849357,326.1412604389384
137,500181.0660510736,8724278.285299765,326.09046024750455
138,500181.3410863055,8724278.577023655,326.040677865299
139,500181.39355166664,8724278.62145375,325.9696517501338
140,500181.44551059016,8724278.66532484,325.8986085547891
141,500181.54776968475,8724278.765150387,325.8327912800896
142,500181.89584784163,8724279.13840673,325.79206380319744
143,500182.0973142052,8724279.34874946,325.73713944441556
144,500182.338358443,8724279.60322133,325.6867072300267
145,500182.4152742846,8724279.675100023,325.6195376830341
146,500182.5021628395,8724279.758098228,325.55356096883344
147,500182.69735231035,8724279.961601695,325.49950021749976
148,500182.7150972207,8724279.967682065,325.42628826363983
149,500182.8182095077,8724280.068939133,325.3626770552355
150,500183.0102765093,8724280.269274361,325.3090772292172
151,500182.992435259,8724280.235720685,325.23237316458864
152,500183.1686610888,8724280.418497765,325.17761255163686
153,500183.27597188565,8724280.524503978,325.1152807381384
154,500183.3335536771,8724280.575086659,325.04736243409207
155,500183.4538689389,8724280.695676602,324.9869381077022
156,500183.5539530775,8724280.793701697,324.9243478975303
157,500183.85638063203,8724281.117552316,324.88623146074747
158,500183.9941089618,8724281.25771214,324.8288124497824
159,500184.07465199404,8724281.334110467,324.76471881845805
160,500184.1641632902,8724281.420550998,324.70185396057974
161,500184.3435982185,8724281.607417807,324.6503915222289
162,500184.44396265526,8724281.706072863,324.58944001640253
163,500184.5445806469,8724281.805025771,324.52854847032984
164,500185.1020261961,8724282.41438502,324.5265230450474
165,500185.1952821709,8724282.505297024,324.4657154591784
166,500185.2640240768,8724282.568827758,324.4019016040601
167,500185.33853113116,8724282.638816858,324.3389381610096
168,500185.44548877457,8724282.745138105,324.28045246218994
169,500185.54677979543,8724282.845155293,324.22141077900403
170,500185.68949340563,8724282.99150639,324.16820398328906
171,500185.7921110994,8724283.092973981,324.1097541787512
172,500185.86747995333,8724283.164178172,324.04809643217703
173,500185.99559368193,8724283.294296224,323.9935679198568
174,500186.08092074294,8724283.376719289,323.93310965335684
175,500185.89493424376,8724283.15545124,323.8346718648927
176,500186.18033297046,8724283.46173117,323.80303292078366
177,500186.35941871867,8724283.649171062,323.7566973330945
178,500186.526055136,8724283.82293543,323.7089772959922
179,500186.5290244409,8724283.813098313,323.63759931174525
180,500186.531993746,8724283.803261198,323.5662213274982
181,500186.560424117,8724283.821972456,323.49863921528106
182,500186.74784444814,8724284.018989192,323.45491615242867
183,500186.8710398272,8724284.144091994,323.4019275077021
184,500186.95603741857,8724284.226336319,323.34327983251836
185,500187.01712366415,8724284.281818625,323.2811576123026
186,500187.16026813403,8724284.429390414,323.23185359704576
