,key_0,choice,path,maxsum,lineloc,lineadjust,ING Stage DCP-raw,stage_filtered
37,6/26/2020 9:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200626_090000.jpg,288,328,318,0.64,0.569166667
38,6/26/2020 12:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200626_120000.jpg,289,329,319,0.48,0.414166667
39,6/26/2020 15:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200626_150000.jpg,294,334,324,0.34,0.302727273
40,6/26/2020 18:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200626_180000.jpg,293,333,323,0.27,0.305
41,6/26/2020 21:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200626_210000.jpg,682,355,335,0.39,0.505
42,6/27/2020 0:00,,,,,,,0.753636364
43,6/27/2020 3:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200627_030000.jpg,281,321,311,0.79,0.791818182
44,6/27/2020 6:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200627_060000.jpg,283,323,313,0.76,0.71
45,6/27/2020 9:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200627_090000.jpg,288,328,318,0.63,0.555454545
46,6/27/2020 12:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200627_120000.jpg,289,329,319,,0.399
47,6/27/2020 15:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200627_150000.jpg,295,335,325,,0.292727273
48,6/27/2020 18:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200627_180000.jpg,293,333,323,,0.321818182
49,6/27/2020 21:00,0,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200627_210000.jpg,682,355,335,0.43,0.615454545
50,6/28/2020 0:00,,,,,,0.86,0.980909091
51,6/28/2020 3:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200628_030000.jpg,279,319,309,1.09,1.06
52,6/28/2020 6:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200628_060000.jpg,270,310,300,1,0.921666667
53,6/28/2020 9:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200628_090000.jpg,283,323,313,,0.707777778
54,6/28/2020 12:00,2,C:\Users\sgoldst3\Inglefield\PyTrx\Seth_Examples/Inglefield_Data/INGLEFIELD_CAM/2020\INGLEFIELD_CAM_StarDot1_20200628_120000.jpg,290,330,320,,0.514545455
